Let G be a simple undirected planar graph on 10 vertices with 15 edges. If G is a connected graph then the number of bounded faces in any embedding of G on the plane is equal to,6
The bisection method is applied to compute a zero of the function f(x) = x4 – x3 – x2 – 4 in the interval [19]. The method converges to a solution after ––––– iterations,3
Let G be a complete undirected graph on 6 vertices. If vertices of G are labeled then the number of distinct cycles of length 4 in G is equal to,45
Consider a source computer(S) transmitting a file of size 106 bits to a destination computer(D)over a network of two routers (R1 and R2) and three links(L1 L2 and L3). L1connects S to R1; L2 connects R1 to R2; and L3 connects R2 to D.Let each link be of length 100 km. Assume signals travel over each link at a speed of 108 meters per second.Assume that the link bandwidth on each link is 1Mbps. Let the file be broken down into 1000 packets each of size 1000 bits. Find the total sum of transmission and propagation delays in transmitting the file from S to D?,1005
How many terms are there in 392781........531441?,12
A political party orders an arch for the entrance to the ground in which the annual convention is being held. The profile of the arch follows the equation y = 2x – 0.1x2 where y is the height of the arch in meters. The maximum possible height of the arch is,10
A computer has a 256 KByte 4-way set associative write back data cache with block size of 32 Bytes. The processor sends 32 bit addresses to the cache controller. Each cache tag directory entry contains in addition to address tag 2 valid bits 1 modified bit and 1 replacement bit. The number of bits in the tag field of an address is ,16
The cost function for a product in a firm is given by 5q2 where q is the amount of production. The firm can sell the product at a market price of Rs 50 per unit. The number of units to be produced by the firm such that the profit is maximized is,5
If the average of four consecutive odd numbers is 12 find the smallest of these numbers?,9
The difference between a two-digit number and the number obtained by interchanging the positions of its digits is 45. What is the difference between the two digits of that number?,5
